canters nectars recants scanter trances  : 5 anagrams. 
canter centra nectar recant trance  : 5 anagrams. 
bares baser bears braes saber  : 5 anagrams. 
bardes beards breads debars sabred  : 5 anagrams. 
astir sitar stair stria tarsi  : 5 anagrams. 
aster rates stare tares tears  : 5 anagrams. 
assertor assorter oratress reassort roasters  : 5 anagrams. 
aspires paresis parises praises spireas  : 5 anagrams. 
ashed deash hades heads shade  : 5 anagrams. 
arts rats star tars tsar  : 5 anagrams. 
aridest astride staider tardies tirades  : 5 anagrams. 
argons groans orangs organs sarong  : 5 anagrams. 
argle glare lager large regal  : 5 anagrams. 
arches casher chares chaser search  : 5 anagrams. 
aper pare pear rape reap  : 5 anagrams. 
angrier earring grainer rangier rearing  : 5 anagrams. 
angered derange enraged grandee grenade  : 5 anagrams. 
andes danes deans saned sedan  : 5 anagrams. 
amens manes manse means names  : 5 anagrams. 
amblers blamers lambers marbles rambles  : 5 anagrams. 
ambler blamer lamber marble ramble  : 5 anagrams. 
ambled bedlam beldam blamed lambed  : 5 anagrams. 
algins aligns lasing lingas signal  : 5 anagrams. 
agers gears rages sager sarge  : 5 anagrams. 
actors castor castro costar scrota  : 5 anagrams. 
weirs wires wiser wries  : 4 anagrams. 
waister waiters wariest wastier  : 4 anagrams. 
stow tows twos wots  : 4 anagrams. 
stover strove troves voters  : 4 anagrams. 
skating staking takings tasking  : 4 anagrams. 
serve sever veers verse  : 4 anagrams. 
ruses russe suers users  : 4 anagrams. 
rouster routers tourers trouser  : 4 anagrams. 
roust routs torus tours  : 4 anagrams. 
rosets sorest stores tosser  : 4 anagrams. 
roost roots toros torso  : 4 anagrams. 
rites tiers tires tries  : 4 anagrams. 
retest setter street tester  : 4 anagrams. 
resins rinses serins sirens  : 4 anagrams. 
reserve reveres reverse severer  : 4 anagrams. 
refits rifest sifter strife  : 4 anagrams. 
rawest tawers waster waters  : 4 anagrams. 
rackets restack stacker tackers  : 4 anagrams. 
prides prised spider spired  : 4 anagrams. 
poster presto topers tropes  : 4 anagrams. 
porters pretors reports sporter  : 4 anagrams. 
platters prattles splatter sprattle  : 4 anagrams. 
pintos piston pitons points  : 4 anagrams. 
piecers pierces precise recipes  : 4 anagrams. 
pest pets sept step  : 4 anagrams. 
patters raptest spatter tapster  : 4 anagrams. 
past pats spat taps  : 4 anagrams. 
parsers raspers sparers sparser  : 4 anagrams. 
pars raps rasp spar  : 4 anagrams. 
parroted predator prorated teardrop  : 4 anagrams. 
parley pearly player replay  : 4 anagrams. 
parings parsing rasping sparing  : 4 anagrams. 
overs roves servo verso  : 4 anagrams. 
outer outre route utero  : 4 anagrams. 
orts rots sort tors  : 4 anagrams. 
onsets setons stenos stones  : 4 anagrams. 
oils silo soil soli  : 4 anagrams. 
nows owns snow sown  : 4 anagrams. 
noter notre tenor toner  : 4 anagrams. 
nope open peon pone  : 4 anagrams. 
nips pins snip spin  : 4 anagrams. 
nest nets sent tens  : 4 anagrams. 
nerts rents stern terns  : 4 anagrams. 
naps pans snap span  : 4 anagrams. 
nape neap pane pean  : 4 anagrams. 
merriest miterers rimester triremes  : 4 anagrams. 
meas mesa same seam  : 4 anagrams. 
master maters stream tamers  : 4 anagrams. 
lores loser roles sorel  : 4 anagrams. 
lopers polers proles sloper  : 4 anagrams. 
loots lotos stool tools  : 4 anagrams. 
loops pools sloop spool  : 4 anagrams. 
loess loses sloes soles  : 4 anagrams. 
livers livres silver sliver  : 4 anagrams. 
liter litre relit tiler  : 4 anagrams. 
list lits silt slit  : 4 anagrams. 
limes miles slime smile  : 4 anagrams. 
liers riels riles slier  : 4 anagrams. 
lier lire riel rile  : 4 anagrams. 
leaser resale reseal sealer  : 4 anagrams. 
leapt petal plate pleat  : 4 anagrams. 
leapers pleaser relapse repeals  : 4 anagrams. 
leap pale peal plea  : 4 anagrams. 
latrine ratline reliant retinal  : 4 anagrams. 
lasting salting slating staling  : 4 anagrams. 
lascars rascals sacrals scalars  : 4 anagrams. 
lamps palms plasm psalm  : 4 anagrams. 
lames males meals salem  : 4 anagrams. 
lament mantel mantle mental  : 4 anagrams. 
lameness maleness nameless salesmen  : 4 anagrams. 
kales lakes leaks slake  : 4 anagrams. 
iterates teariest treaties treatise  : 4 anagrams. 
iterant nattier nitrate tertian  : 4 anagrams. 
irones noires nosier senior  : 4 anagrams. 
insure inures urines ursine  : 4 anagrams. 
inst nits snit tins  : 4 anagrams. 
insetters interests resistent triteness  : 4 anagrams. 
inset senti stein tines  : 4 anagrams. 
inserter reinsert reinters terrines  : 4 anagrams. 
inserted resident sentried sintered  : 4 anagrams. 
inks kins sink skin  : 4 anagrams. 
ingress resigns signers singers  : 4 anagrams. 
impaler impearl lempira palmier  : 4 anagrams. 
huts shut thus tush  : 4 anagrams. 
host hots shot tosh  : 4 anagrams. 
hordes horsed rhodes shored  : 4 anagrams. 
hist hits shit this  : 4 anagrams. 
herons honers nosher senhor  : 4 anagrams. 
helots hostel hotels tholes  : 4 anagrams. 
heirs hires shier shire  : 4 anagrams. 
halters lathers slather thalers  : 4 anagrams. 
hales heals leash shale  : 4 anagrams. 
haets haste hates heats  : 4 anagrams. 
gunshot hognuts noughts shotgun  : 4 anagrams. 
granite ingrate tangier tearing  : 4 anagrams. 
goers gores gorse ogres  : 4 anagrams. 
gnus guns snug sung  : 4 anagrams. 
gingers niggers serging snigger  : 4 anagrams. 
gilders girdles gliders regilds  : 4 anagrams. 
gilder girdle glider regild  : 4 anagrams. 
flowers fowlers reflows wolfers  : 4 anagrams. 
flower fowler reflow wolfer  : 4 anagrams. 
filters lifters stifler trifles  : 4 anagrams. 
filers fliers lifers rifles  : 4 anagrams. 
filer flier lifer rifle  : 4 anagrams. 
fidel field filed flied  : 4 anagrams. 
fates feast feats fetas  : 4 anagrams. 
evilness liveness veinless vileness  : 4 anagrams. 
esther ethers theres threes  : 4 anagrams. 
ergo goer gore ogre  : 4 anagrams. 
erections neoterics resection secretion  : 4 anagrams. 
erat rate tare tear  : 4 anagrams. 
epsom mopes poems pomes  : 4 anagrams. 
epiderms impeders premised simpered  : 4 anagrams. 
eons noes nose ones  : 4 anagrams. 
entraps parents pastern trepans  : 4 anagrams. 
entrails latrines ratlines retinals  : 4 anagrams. 
enrapt entrap parent trepan  : 4 anagrams. 
enlists listens silents tinsels  : 4 anagrams. 
enlister listener reenlist silenter  : 4 anagrams. 
engram german manger ragmen  : 4 anagrams. 
enduros resound sounder undoers  : 4 anagrams. 
enates santee sateen senate  : 4 anagrams. 
emit item mite time  : 4 anagrams. 
